IdRegistro,PctConfLongitud,PctConfDiametro
REG-0012001,27.55,97.85
REG-0012002,12.51,97.66
REG-0012003,45.93,88.07
REG-0012004,21.4,91.55
REG-0012005,35.55,72.21
REG-0012006,58.56,92.51
REG-0012007,27.27,93.84
REG-0012008,56.72,95.32
REG-0012009,32.4,60.77
REG-0012010,54.69,96.04
REG-0012011,38.09,82.54
REG-0012012,52.73,84.66
REG-0012013,29.75,91.1
REG-0012014,48.88,92.62
REG-0012015,59.23,85.7
REG-0012016,3.47,98.07
REG-0012017,63.6,86.11
REG-0012018,31.33,98.63
REG-0012019,66.52,81.19
REG-0012020,43.75,98.07
REG-0012021,59.92,91.67
REG-0012022,41.47,98.02
REG-0012023,61.56,98.03
REG-0012024,25.04,98.02
REG-0012025,60.31,85.35
REG-0012026,30.94,98.54
REG-0012027,64.81,97.27
REG-0012028,33.64,98.2
REG-0012029,63.16,97.03
REG-0012030,38.23,97.76
REG-0012031,62.51,97.58
REG-0012032,47.92,96.15
REG-0012033,62.07,96.78
REG-0012034,52.65,95.27
REG-0012035,62.79,96.38
REG-0012036,49.72,96.55
REG-0012037,57.08,97.08
REG-0012038,43.61,97.65
REG-0012039,63.47,97.11
REG-0012040,48.5,96.43
REG-0012041,55.28,97.01
REG-0012042,45.08,95.94
REG-0012043,62.39,94.98
REG-0012044,48.33,95.69
REG-0012045,57.66,95.53
REG-0012046,61.96,97.08
REG-0012047,46.65,96.17
REG-0012048,64.96,96.03
REG-0012049,41.26,95.84
REG-0012050,65.82,97.01
REG-0012051,47.6,95.5
REG-0012052,59.01,96.55
REG-0012053,10.47,95.77
REG-0012054,63.06,96.72
REG-0012055,38.08,96.26
REG-0012056,60.55,97.24
REG-0012057,48.8,96.59
REG-0012058,59.67,96.83
REG-0012059,47.46,95.57
REG-0012060,57.31,96.53
REG-0012061,40.77,94.53
REG-0012062,57.69,96.54
REG-0012063,29.85,94.36
REG-0012064,59.06,96.37
REG-0012065,32.8,95.43
REG-0012066,60.81,96.31
REG-0012067,56.38,96.2
REG-0012068,55.42,95.58
REG-0012069,28.73,95.79
REG-0012070,53.49,94.51
REG-0012071,46.64,95.4
REG-0012072,52.17,92.46
REG-0012073,36.43,95.66
REG-0012074,55.05,95.03
REG-0012075,41.14,89.34
REG-0012076,53.19,91.01
REG-0012077,45.37,88.03
REG-0012078,52.01,95.77
REG-0012079,42.2,89.71
REG-0012080,48.59,92.87
REG-0012081,41.08,89.54
REG-0012082,43.26,90.55
REG-0012083,57.41,94.91
REG-0012084,41.16,87.03
REG-0012085,63.73,97.35
REG-0012086,40.5,86.02
REG-0012087,38.71,84.1
REG-0012088,53.09,93.5
REG-0012089,42.88,93.37
REG-0012090,40.7,84.27
REG-0012091,43.14,93.49
REG-0012092,60.64,94.71
REG-0012093,54.34,88.85
REG-0012094,56.26,96.36
REG-0012095,53.57,86.07
REG-0012096,58.14,93.91
REG-0012097,53.69,88.87
REG-0012098,64.61,98.45
REG-0012099,51.32,96.83
REG-0012100,62.1,97.53
REG-0012101,55.7,96.98
REG-0012102,62.93,95.92
REG-0012103,51.73,97.15
REG-0012104,61.16,93.78
REG-0012105,48.66,97.85
REG-0012106,59.96,93.59
REG-0012107,53.91,97.12
REG-0012108,58.19,92.68
REG-0012109,46.48,97.33
REG-0012110,57.54,92.8
REG-0012111,44.29,97.19
REG-0012112,61.93,96.87
REG-0012113,43.4,97.37
REG-0012114,42.62,94.78
REG-0012115,56.6,97.4
REG-0012116,45.95,97.1
REG-0012117,60.43,96.15
REG-0012118,42.78,94.44
REG-0012119,29.06,96.15
REG-0012120,41.58,95.73
REG-0012121,42.19,94.48
REG-0012122,52.33,96.03
REG-0012123,57.17,91.44
REG-0012124,52.62,95.93
REG-0012125,58.12,98.29
REG-0012126,58.11,95.17
REG-0012127,32.18,88.88
REG-0012128,58.92,95.76
REG-0012129,27.39,93.11
REG-0012130,56.16,98.19
REG-0012131,55.93,97.6
REG-0012132,53.67,97.24
REG-0012133,54.63,97.08
REG-0012134,36.51,96.75
REG-0012135,61.16,95.34
REG-0012136,55.69,95.17
REG-0012137,44.81,95.56
REG-0012138,46.45,97.52
REG-0012139,34.04,97.27
REG-0012140,52.11,94.88
REG-0012141,28.68,93.37
REG-0012142,59.88,97.7
REG-0012143,51.69,97.6
REG-0012144,48.96,96.92
REG-0012145,33.48,94.92
