tipo,proces,nombre_lista,desc_lista
Dim,,Dim_Autorizador,
Dim,,Dim_Decision_Empleo,
Dim,,Dim_Diseno_Producto,
Dim,,Dim_Etapa,
Dim,,Dim_Ingeniero,
Dim,,Dim_Linea,
Dim,,Dim_Motivo_Causa_No_Conforme,
Dim,,Dim_Parametros_Limites,
Dim,,Dim_Permeabilidad,
Dim,,Dim_Producto,
Dim,,Dim_Rango_Longitud_Diametro,
Dim,,Dim_Tecnico,
Dim,,Dim_Turno,
Dim,,Dim_Variables_Fisicas,
Dim,,Dim_Variables_Quimicas,
Fact,,Fact_Control_Calidad,
Fact,,Fact_Densidad_Aparente,
Fact,,Fact_Densidad_Especifica,
Fact,,Fact_Diametro_Extruido_0_5,
Fact,,Fact_Diametro_Extruido_0_8,
Fact,,Fact_Diametro_Extruido_1_2,
Fact,,Fact_Diametro_Extruido_2_0,
Fact,,Fact_Diametro_Peletizado_1_2,
Fact,,Fact_Diametro_Peletizado_2_0,
Fact,,Fact_Durabilidad,
Fact,,Fact_Finos,
Fact,,Fact_Flotabilidad,
Fact,,Fact_Longitud_Extruido_0_5,
Fact,,Fact_Longitud_Extruido_0_8,
Fact,,Fact_Longitud_Extruido_1_2,
Fact,,Fact_Longitud_Extruido_2_0,
Fact,,Fact_Longitud_Peletizado_1_2,
Fact,,Fact_Longitud_Peletizado_2_0,
Fact,,Fact_Otros_Fisico_Extruido_0_5,
Fact,,Fact_Otros_Fisico_Extruido_0_8,
Fact,,Fact_Otros_Fisico_Extruido_1_2,
Fact,,Fact_Otros_Fisico_Extruido_2_0,
Fact,,Fact_Otros_Fisico_Peletizado_1_2,
Fact,,Fact_Otros_Fisico_Peletizado_2_0,
Fact,,Fact_Parametros_Fisicos,
Fact,,Fact_Particulas,
Fact,,Fact_Permeabilidad,
Fact,,Fact_Quimico_Extruido_0_5,
Fact,,Fact_Quimico_Extruido_0_8,
Fact,,Fact_Quimico_Extruido_1_2,
Fact,,Fact_Quimico_Extruido_2_0,
Fact,,Fact_Quimico_Peletizado_1_2,
Fact,,Fact_Quimico_Peletizado_2_0,
Fact,,Fact_Reflote,
Fact,,Fact_Registro,
Fact,,Fact_Registro_Fuelle,
App,,SP_Usuarios,
